name,slug,value,date_of_information,ranking,region
"Ecuador","ecuador","0.49","2021 est.","154","South America"
"Bahrain","bahrain","0.40","2021 est.","155","Middle East"
"Chad","chad","0.30","2021 est.","156","Africa"
"Bermuda","bermuda","0.10","2021 est.","157","North America"
"Central African Republic","central-african-republic","-0.24","2021 est.","158","Africa"
"Comoros","comoros","-0.25","2021 est.","159","Africa"
"Mozambique","mozambique","-0.42","2019 est.","160","Africa"
"Nigeria","nigeria","-0.47","2021 est.","161","Africa"
"Australia","australia","-0.55","2021 est.","162","Australia and Oceania"
"Barbados","barbados","-0.60","2021 est.","163","Central America and the Caribbean"
"Moldova","moldova","-0.67","2021 est.","164","Europe"
"Guinea-Bissau","guinea-bissau","-0.70","2020 est.","165","Africa"
"Sudan","sudan","-0.70","2021 est.","166","Africa"
"Ghana","ghana","-0.80","2021 est.","167","Africa"
"Trinidad and Tobago","trinidad-and-tobago","-0.99","2021 est.","168","Central America and the Caribbean"
"Egypt","egypt","-1.09","2021 est.","169","Africa"
"San Marino","san-marino","-1.10","2012 est.","170","Europe"
"Iraq","iraq","-1.14","2021 est.","171","Middle East"
"Kiribati","kiribati","-1.57","2020 est.","172","Australia and Oceania"
"Venezuela","venezuela","-2.00","2017 est.","173","South America"
"New Zealand","new-zealand","-2.09","2020 est.","174","Australia and Oceania"
"Puerto Rico","puerto-rico","-2.10","2017 est.","175","Central America and the Caribbean"
"Mongolia","mongolia","-2.22","2021 est.","176","East and Southeast Asia"
"North Macedonia","north-macedonia","-2.37","2021 est.","177","Europe"
"Haiti","haiti","-2.48","2021 est.","178","Central America and the Caribbean"
"Malta","malta","-3.30","2016 est.","179","Europe"
"Cayman Islands","cayman-islands","-3.36","2020 est.","180","Central America and the Caribbean"
"Palau","palau","-3.42","2021 est.","181","Australia and Oceania"
"Marshall Islands","marshall-islands","-3.66","2021 est.","182","Australia and Oceania"
"Solomon Islands","solomon-islands","-3.84","2020 est.","183","Australia and Oceania"
"Andorra","andorra","-3.90","2020 est.","184","Europe"
"Brunei","brunei","-4.17","2021 est.","185","East and Southeast Asia"
"Japan","japan","-4.33","2020 est.","186","East and Southeast Asia"
"Djibouti","djibouti","-4.43","2020 est.","187","Africa"
"Isle of Man","isle-of-man","-5.10","2019 est.","188","Europe"
"Yemen","yemen","-5.23","2018 est.","189","Middle East"
"Equatorial Guinea","equatorial-guinea","-6.46","2021 est.","190","Africa"
"Mauritania","mauritania","-6.61","2021 est.","191","Africa"
"Cuba","cuba","-6.75","2021 est.","192","Central America and the Caribbean"
"Lebanon","lebanon","-6.85","2021 est.","193","Middle East"
"Papua New Guinea","papua-new-guinea","-7.50","2020 est.","194","East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","-7.91","2021 est.","195","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","-8.33","2021 est.","196","Australia and Oceania"
"Angola","angola","-8.34","2021 est.","197","Africa"
"Fiji","fiji","-8.34","2021 est.","198","Australia and Oceania"
"Samoa","samoa","-9.65","2021 est.","199","Australia and Oceania"
"Libya","libya","-10.57","2019 est.","200","Africa"
"Suriname","suriname","-10.92","2021 est.","201","South America"
"Kuwait","kuwait","-12.20","2020 est.","202","Middle East"
"Afghanistan","afghanistan","-14.19","2021 est.","203","South Asia"
"Syria","syria","-14.77","2020 est.","204","Middle East"
"Burma","burma","-20.65","2021 est.","205","East and Southeast Asia"
"Montserrat","montserrat","-21.00","2017 est.","206","Central America and the Caribbean"
"Madagascar","madagascar","-21.56","2020 est.","207","Africa"
"Tuvalu","tuvalu","-26.10","2012 est.","208","Australia and Oceania"
